"","id","Year","fullCit","count","Source"
"131","McNulty_1951",1951,"McNulty, John. A Man Gets Around. Boston: Little, Brown and Co., 1951. ",2,"Primary Works"
"132","McNulty_1946",1946,"McNulty, John. Third Avenue, New York. Boston: Little, Brown and Co., 1946.",4,"Primary Works"
"133","McNulty_1957",1957,"McNulty, John. The World of John McNulty. With an appreciation by James Thurber. Garden City, N.Y.: Doubleday & Co., 1957",1,"Primary Works"
"134","Mitchell_1960",1960,"Mitchell, Joseph. The Bottom of the Harbor. Boston: Little, Brown and Company, 1960.",5,"Primary Works"
"135","Mitchell_1943",1943,"Mitchell, Joseph. McSorley's Wonderful Saloon. New York: Duell, Sloan and Pearce, 1943. ",4,"Primary Works"
"136","Mitchell_1960",1960,"Mitchell, Joseph. ""The Mohawks in High Steel,"" in Apologies to the Iroquois, with Edmund Wilson. New York: Farrar, Straus, 1960.",5,"Primary Works"
"137","Mitchell_1938",1938,"Mitchell, Joseph. My Ears Are Bent. New York: Sheridan House, 1938.",5,"Primary Works"
"138","Mitchell_1992",1992,"Mitchell, Joseph. Up in the Old Hotel. New York: Random House, 1992.",8,"Primary Works"
"139","Orwell_1933",1933,"Orwell, George. Down and Out in Paris and London. London: Gollancz, 1933. ",1,"Primary Works"
"140","Orwell_1938",1938,"Orwell, George. Homage to Catalonia. London: Secker & Warburg, 1938.",5,"Primary Works"
"141","Orwell_1937",1937,"Orwell, George. The Road to Wigan Pier. London: Gollancz, 1937.",2,"Primary Works"
"142","Paul_1971",1971,"Paul, Elliot. The Life and Death of a Spanish Town. New York: Random House, 1937. Reprinted by Greenwood Press, 1971.",5,"Primary Works"
"143","Paul_1942",1942,"Paul, Elliot. The Last Time I Saw Paris. New York: Random House, 1942.",3,"Primary Works"
"144","Reed_1919",1919,"Reed, John. Ten Days That Shook the World. Foreword by V. I. Lenin. New York: Vintage Books, 1960. First published 1919.",1,"Primary Works"
"145","Reed_1918",1918,"Reed, John. The War in Eastern Europe. New York: Charles Scribner's Sons, 1918. ",1,"Primary Works"
"146","Ross_1952",1952,"Ross, Lillian. Picture: John Huston, M.G. M., and the Making of The Red Badge of Courage. New York: Limelight Editions, 1984. First published in 1952. ",1,"Primary Works"
"147","Ross_1981",1981,"Ross, Lillian. Reporting. New York: Dodd, Mead & Co., 1964, 1981.",4,"Primary Works"
"148","Reed_1983",1983,"Reed, John. Takes: Stories from The Talk of the Town. New York: Congdon & Weed, Inc., 1983.",4,"Primary Works"
"149","Reed_1966",1966,"Reed, John. Talk Stories. New York: Simon and Schuster, 1966.",5,"Primary Works"
"150","Shirer_1941",1941,"Shirer, William L. Berlin Diary. New York: Alfred A. Knopf, 1941.",4,"Primary Works"
"151","Steinbeck_1942",1942,"Steinbeck, John. Bombs Away: The Story of a Bomber Team. New York: Viking, 1942.",3,"Primary Works"
"152","Steinbeck_1943",1943,"Steinbeck, John. Once There Was a War. New York: Viking, 1958. First published in 1943. ",4,"Primary Works"
"153","Steinbeck_1948",1948,"Steinbeck, John. A Russian Journal. With pictures by Robert Capa. New York: Viking, 1948. ",1,"Primary Works"
"154","West_1941",1941,"West, Rebecca. Black Lamb and Grey Falcon; A Journey through Yugoslavia. New York: Viking, 1941.",4,"Primary Works"
"155","Steinbeck_1964",1964,"Steinbeck, John. The New Meaning of Treason. New York: Viking, 1964.",3,"Primary Works"
"156","West_1978",1978,"West, Rebecca. Rebecca West — A Celebration. Selected from her writings, with a critical introduction by Samuel Hynes. New York: Penguin Books, 1978. ",3,"Primary Works"
"157","Wilson_1958",1958,"Wilson, Edmund. The American Earthquake. Garden City, N.Y.: Doubleday & Co., 1958.",2,"Primary Works"
"158","White_1977",1977,"White, E. B. Essays of E. B. White. New York: Harper Colophon Books, 1977. ",7,"Primary Works"
"159","White_1949",1949,"White, E. B. Here Is New York. New York: Harper & Brothers, 1949.",1,"Primary Works"
"160","White_1960",1960,"White, E. B. The Second Tree from the Corner. New York: Harper & Row, 1965. Since 1960",5,"Primary Works"
"161","Anzaldu_1987",1987,"Anzaldúa, Gloria. Borderlands/La Frontera: The New Mestiza. San Francisco: Spinsters/Aunt Lute Book Co., 1987.",9,"Primary Works"
"162","Arlen_1980",1980,"Arlen, Michael J. Thirty Seconds. New York: Farrar, Straus, Giroux, 1980. ",10,"Primary Works"
"163","Bangs_1987",1987,"Bangs, Lester. Psychotic Reactions and Carburetor Dung. New York: Alfred A. Knopf, 1987.",9,"Primary Works"
"164","Barich_2005",2005,"Barich, Bill. A Fine Place to Daydream: Racehorses, Romance, and the Irish. New York: Alfred A. Knopf, 2005.",5,"Primary Works"
"165","Barich_1980",1980,"Barich, Bill. Laughing in the Hills. New York: Viking Penguin, 1980.",10,"Primary Works"
"166","Bedford_1961",1961,"Bedford, Sybille. The Faces of Justice: A Traveller's Report. New York: Simon and Schuster, 1961.",4,"Primary Works"
"167","Bissinger_1990",1990,"Bissinger, H. G. “Buzz.” Friday Night Lights: A Town, a Team, and a Dream. Reading, Mass,: Addison Wesley, 1990.",4,"Primary Works"
"168","Bissinger_1997",1997,"Bissinger, H. G. A Prayer for the City. New York: Random House, 1997.  ",4,"Primary Works"
"169","Bissinger_2005",2005,"Bissinger, H. G. Three Nights in August: Strategy, Heartbreak, and Joy Inside the Mind of a Manager. Boston and New York: Houghton Mifflin Co., 2005.",5,"Primary Works"
"170","Blais_1992",1992,"Blais, Madeleine. The Heart Is an Instrument: Portraits in Journalism. Foreword by Geneva Overholser. Amherst: University of Massachusetts Press, 1992.",8,"Primary Works"
"171","Blais_1995",1995,"Blais, Madeleine. In These Girls, Hope Is a Muscle. New York: Atlantic Monthly Press, 1995. ",5,"Primary Works"
"172","Booth_1999",1999,"Booth, Stanley. The True Adventures of the Rolling Stones. Chicago: A Cappella Books, 2000. Originally published as Dance with the Devil in 1984. Bowden, Mark. Black Hawk Down: A Story of Modern War. New York: Atlantic Monthly Press, 1999.",3,"Primary Works"
"173","Breslin_1967",1967,"Breslin, Jimmy. The World of Jimmy Breslin. New York: Viking, 1967. ",6,"Primary Works"
"174","Bryan_1976",1976,"Bryan, C. D. B. Friendly Fire. New York: G. P. Putnam’s Sons, 1976. ",6,"Primary Works"
"175","Buford_1992",1992,"Buford, Bill. Among the Thugs. New York: W. W. Norton, 1992. ",8,"Primary Works"
"176","Cahill_1987",1987,"Cahill, Tim. Jaguars Ripped My Flesh: Adventure Is A Risky Business. Toronto: New York, Bantam Books, 1987.",9,"Primary Works"
"177","Breslin_2004",2004,"Breslin, Jimmy. Lost in My Own Backyard: A Walk in Yellowstone National Park. New York: Crown Publishers, 2004.",4,"Primary Works"
"178","Breslin_1989",1989,"Breslin, Jimmy. A Wolverine Is Eating My Leg. New York: Vintage, 1989.",10,"Primary Works"
"179","Capote_1965",1965,"Capote, Truman. In Cold Blood. New York: Random House, 1965.",5,"Primary Works"
"180","Carr_1993",1993,"Carr, Cynthia. On Edge: Performance at the End of the Twentieth Century. Hanover, N.H.: University Press of New England, 1993.",6,"Primary Works"
"181","Conaway_1976",1976,"Conaway, James. The Texans. New York: Alfred A. Knopf, 1976.",6,"Primary Works"
"182","Conaway_1990",1990,"Conaway, James. Napa: The Story of an American Eden. Boston and New York: Houghton Mifflin, 1990.",4,"Primary Works"
"183","Conover_1987",1987,"Conover, Ted. Coyotes: A Journey through the Secret World of America's Illegal Aliens. New York: Vintage Books, 1987.",9,"Primary Works"
"184","Conover_2000",2000,"Conover, Ted. NewJack: Guarding Sing Sing. New York: Random House, 2000. ",5,"Primary Works"
"185","Conover_1984",1984,"Conover, Ted. Rolling Nowhere: Riding the Rails with America’s Hoboes. New York: Viking, 1984.",5,"Primary Works"
"186","Conover_1991",1991,"Conover, Ted. Whiteout: Lost In Aspen. New York: Random House, 1991.",8,"Primary Works"
"187","Cramer_2000",2000,"Cramer, Richard Ben. Joe DiMaggio: The Hero's Life. New York: Simon & Schuster, 2000.",5,"Primary Works"
"188","Dash_1996",1996,"Dash, Leon. Rosa Lee: A Mother and Her Family in Urban America. New York: Basic Books, 1996.",5,"Primary Works"
