,fullCit,Source,Year,author,author_firstname,id,Type,gender
92,"Halberstam, David. The Breaks of the Game. New York: Alfred A. Knopf, 1981.",LJPrimary,1981,Halberstam,David,Halberstam_1981,Primary Works,male
122,"Kidder, Tracy. The Soul of a New Machine. Boston: Little, Brown and Co., 1981.",LJPrimary,1981,Kidder,Tracy,Kidder_1981,Primary Works,male
425,"Hellmann, John. Fables of Fact: The New Journalism as Fables of Fact. Urbana: University of Illinois Press, 1981. Hersey, John. â€œThe Legend on the License.â€ù Yale Review 70: 1â€“25.",LJSBib,1981,Hellmann,John,Hellmann_1981,Secondary Works,male
480,"Nocera, Joseph. â€œHow Hunter Thompson Killed New Journalism.â€ù Washington Monthly, April 1981, 44-50. 20th century; Hunter Thompson; Gonzo journalism, New Journalism; Books, magazines..",LJSBib,1981,Nocera,Joseph,Nocera_1981,Secondary Works,male
596,"Nocera, Joseph. â€œHow Hunter  ompson Killed New Journalism.â€ù Washington Monthly, April 1981, 44-50. 20th century; Hunter  ompson; Gonzo jour- nalism, New Journalism; Books, magazines.",LJSBib2,1981,Nocera,Joseph,Nocera_1981,Secondary Works,male
213,"Ross, Lillian. Reporting. New York: Dodd, Mead & Co., 1964, 1981.",LJPrimary,1981,Ross,Lillian,Ross_1981,Primary Works,female
353,"Berner, R. Thomas. â€œLiterary Notions and Utilitarian Reality.â€ù Style 16 (Fall 1982): 452â€“57.",LJSBib,1982,Berner,R,Berner_1982,Secondary Works,male
138,"Levine, Richard M. Bad Blood: A Family Murder in Marin County. New York: Random House, 1982.",LJPrimary,1982,Levine,Richard,Levine_1982,Primary Works,male
264,"Wilkinson, Alec. Midnights: A Year with the Wellfleet Police. New York: Random House, 1982.",LJPrimary,1982,Wilkinson,Alec,Wilkinson_1982,Primary Works,male
137,"Lernoux, Penny. Cry of the People. Garden City, N.Y.: Doubleday, 1982.",LJPrimary,1982,Lernoux,Penny,Lernoux_1982,Primary Works,female
219,"Sheehan, Susan. Is There No Place on Earth for Me? Boston: Houghton Mifflin, 1982.",LJPrimary,1982,Sheehan,Susan,Sheehan_1982,Primary Works,female
255,"West, Rebecca. The Young Rebecca: Writings of Rebecca West 1911â€“17. Selected and introduced by Jane Marcus. New York: Viking, 1982.",LJPrimary,1982,West,Rebecca,West_1982,Primary Works,female
94,"Hamburger, Robert. All the Lonely People: Life in a Single Room Occupancy Hotel. New Haven and New York: Ticknor & Fields, 1983.",LJPrimary,1983,Hamburger,Robert,Hamburger_1983,Primary Works,male
131,"Kramer, Mark. Invasive Procedures: A Year in the World of Two Surgeons. New York: Harper & Row, 1983.",LJPrimary,1983,Kramer,Mark,Kramer_1983,Primary Works,male
205,"Reed, John. Takes: Stories from The Talk of the Town. New York: Congdon & Weed, Inc., 1983.",LJPrimary,1983,Reed,John,Reed_1983,Primary Works,male
562,"Coles, Robert. â€œJames Ageeâ€™s Search,â€ù in Raritan (Summer 1983), p. 74- 100.",SimsBib,1983,Coles,Robert,Coles_1983,Secondary Works,male
580,"Preston, Richard McCann. The Fabric of Fact: The Beginnings of American Literary Journalism. Princeton University Ph.D. dissertation, 1983.",SimsBib,1983,Preston,Richard,Preston_1983,Secondary Works,male
51,"Didion, Joan. Salvador. New York: Simon and Schuster, 1983.",LJPrimary,1983,Didion,Joan,Didion_1983,Primary Works,female
41,"Conover, Ted. Rolling Nowhere: Riding the Rails with Americaâ€™s Hoboes. New York: Viking, 1984.",LJPrimary,1984,Conover,Ted,Conover_1984,Primary Works,male
239,"Tosches, Nick. Killings. New York: Ticknor & Fields, 1984.",LJPrimary,1984,Tosches,Nick,Tosches_1984,Primary Works,male
263,"Wideman, John Edgar. Brothers & Keepers. New York: Holt Rinehart and Winston, 1984.",LJPrimary,1984,Wideman,John,Wideman_1984,Primary Works,male
273,"Zinsser, William. Willie and Dwike: An American Profile. New York: Harper & Row, 1984.",LJPrimary,1984,Zinsser,William,Zinsser_1984,Primary Works,male
359,"Boylan, James. â€œPublicity for the Great Depression: Newspaper Default and Literary Reportage.â€ù Mass Media Between the Wars: Perceptions of Cultural Tension, 1917â€“1941. Ed. Catherine Covert and John Stevens. Syracuse: Syracuse University Press, 1984. 159â€“79.",LJSBib,1984,Boylan,James,Boylan_1984,Secondary Works,male
492,"Peeler, David P. â€œUnlonesome Highways: The Quest for Fact and Fellowship in Depression America.â€ù Journal of American Studies 18, no. 2 (1984): 186â€“206.",LJSBib,1984,Peeler,David,Peeler_1984,Secondary Works,male
519,"Sims, Norman. â€œThe Literary Journalists.â€ù The Literary Journalists. Ed. Norman Sims. New York: Ballantine, 1984. 3â€“25.",LJSBib,1984,Sims,Norman,Sims_1984,Secondary Works,male
556,"Benson, Jackson J. The True Adventures of John Steinbeck, Writer. New York: The Viking Press, 1984.",SimsBib,1984,Benson,Jackson,Benson_1984,Secondary Works,male
557,"Boylan, James. â€œPublicity for the Great Depression; Newspaper Default and Literary Reportage,â€ù in Mass Media Between the Wars; Perceptions of Cultural Tension, 1918â€“1941. Edited by Catherine Covert and John Stevens. Syracuse, N.Y.: Syracuse University Press, 1984.",SimsBib,1984,Boylan,James,Boylan_1984,Secondary Works,male
576,"Martin, Edward A. H. L. Mencken and the Debunkers. Athens: University of Georgia Press, 1984.",SimsBib,1984,Martin,Edward,Martin_1984,Secondary Works,male
220,"Sheehan, Susan. Kate Quinton's Days. Boston: Houghton Mifflin, 1984.",LJPrimary,1984,Sheehan,Susan,Sheehan_1984,Primary Works,female
152,"Lukas, J. Anthony. Common Ground: A Turbulent Decade in the Lives of Three American Families. New York: Alfred A. Knopf, 1985.",LJPrimary,1985,Lukas,J,Lukas_1985,Primary Works,male
4,"Agee, James. James Agee: Selected Journalism. Edited, with an introduction, by Paul Ashdown. Knoxville: University of Tennessee Press, 1985.",LJPrimary,1985,Agee,James,Agee_1985,Primary Works,male
31,"Cahan, Abraham. Grandma Never Lived in America: The New Journalism of Abraham Cahan. Edited with an introduction by Moses Rischin. Bloomington: Indiana University Press, 1985.",LJPrimary,1985,Cahan,Abraham,Cahan_1985,Primary Works,male
59,"Dreiser, Theodore. Selected Magazine Articles of Theodore Dreiser: Life and Art in the American 1890s. Edited, with an introduction and notes, by Yoshinobu Hakutani. Rutherford, Madison, Teaneck: Fairleigh Dickinson University Press, 1985.",LJPrimary,1985,Dreiser,Theodore,Dreiser_1985,Primary Works,male
91,"Halberstam, David. The Amateurs. New York: William Morrow and Co., 1985.",LJPrimary,1985,Halberstam,David,Halberstam_1985,Primary Works,male
119,"Kidder, Tracy. House. Boston: Houghton Mifflin, 1985.",LJPrimary,1985,Kidder,Tracy,Kidder_1985,Primary Works,male
201,"Quammen, David. Natural Acts: A Sidelong View of Science and Nature. New York: Schocken Books,1985.",LJPrimary,1985,Quammen,David,Quammen_1985,Primary Works,male
225,"Singer, Mark. Funny Money. New York: Alfred A. Knopf, 1985.",LJPrimary,1985,Singer,Mark,Singer_1985,Primary Works,male
293,from House / Tracy Kidder -- 1985,AoFTOC,1985,Kidder,Tracy,Kidder_1985,Primary Works,male
491,"Peck, David. â€œJoseph North and the Proletarian Reportage of the 1930s.â€ù Zeitschrift furAnglistik und Amerikanistick 33, no. 3 (1985): 210â€“20.",LJSBib,1985,Peck,David,Peck_1985,Secondary Works,male
500,"Rischin, Moses. Introduction. Grandma Never Lived in America: The New Journalism of Abraham Cahan. Ed. Moses Rischin. Bloomington: Indiana University Press, 1985. xviiiâ€“xliv.",LJSBib,1985,Rischin,Moses,Rischin_1985,Secondary Works,male
582,"Rischin, Moses, editor. Grandma Never Lived in America; The New Journalism of Abraham Cahan. Bloomington: Indiana University Press, 1985.",SimsBib,1985,Rischin,Moses,Rischin_1985,Secondary Works,male
67,"Ehrlich, Gretel. The Solace of Open Spaces. New York: Viking, 1985.",LJPrimary,1985,Ehrlich,Gretel,Ehrlich_1985,Primary Works,female
73,"Flanner, Janet. Dateline: Toronto; The Complete Toronto Star Dispatches, 1920-1924. Edited by William White. New York: Charles Scribner's Sons,1985.",LJPrimary,1985,Flanner,Janet,Flanner_1985,Primary Works,female
62,"Du Bois, W. E. B. W E. B. DuBois: Writings, edited by Nathan Huggins. New York: The Library of America, 1986.",LJPrimary,1986,Du Bois,W,Du Bois_1986,Primary Works,male
354,"Berner, R. Thomas. Literary Newswriting: The Death of an Oxymoron. Journalism Monographs 99. Columbia, S.C.: Association for Education in Journalism and Mass Communication, Oct. 1986.",LJSBib,1986,Berner,R,Berner_1986,Secondary Works,male
103,"Hayes, David. No Easy Answers: The Trial and Conviction of Bruce Curtis. New York: Viking, 1986.",LJPrimary,1986,Hayes,David,Hayes_1986,Primary Works,male
123,"Klinkenborg, Verlyn. Making Hay. New York: Lyons Books,1986.",LJPrimary,1986,Klinkenborg,Verlyn,Klinkenborg_1986,Primary Works,male
151,"Lopez, Barry. Arctic Dreams: Imagination and Desire in a Northern Landscape. New York: Charles Scribner's Sons, 1986.",LJPrimary,1986,Lopez,Barry,Lopez_1986,Primary Works,male
159,"MÃ¡rquez, Gabriel GarcÃ_a. The Story of a Shipwrecked Sailor. New York: Alfred A. Knopf, 1986.",LJPrimary,1986,MÃ¡rquez,Gabriel,MÃ¡rquez_1986,Primary Works,male
210,"Rhodes, Richard. The Making of the Atomic Bomb. New York: Simon and Schuster, 1986.",LJPrimary,1986,Rhodes,Richard,Rhodes_1986,Primary Works,male
401,"Franke, Warren T. Writing for Story: Craft Secrets of Dramatic Nonfiction by a Two-Time Pulitzer Prize Winner. New York: Plume, 1986.",LJSBib,1986,Franke,Warren,Franke_1986,Secondary Works,male
563,"Connery, Thomas. â€œHutchins Hapgood and the Search for a â€˜New Form of Literature,â€™â€ù in Journalism History 13 (1): 2-9 (Spring 1986)",SimsBib,1986,Connery,Thomas,Connery_1986,Secondary Works,male
575,"Lingeman, Richard. Theodore Dreiser: At the Gates of the City, 1871â€“1907. New York: G. P. Putnamâ€™s Sons, 1986.",SimsBib,1986,Lingeman,Richard,Lingeman_1986,Secondary Works,male
71,"Fitzgerald, Frances. Cities on a Hill: A Journey through Contemporary American Cultures. New York: Simon and Schuster, 1986.",LJPrimary,1986,Fitzgerald,Frances,Fitzgerald_1986,Primary Works,female
9,"Bangs, Lester. Psychotic Reactions and Carburetor Dung. New York: Alfred A. Knopf, 1987.",LJPrimary,1987,Bangs,Lester,Bangs_1987,Primary Works,male
32,"Cahill, Tim. Jaguars Ripped My Flesh: Adventure Is A Risky Business. Toronto: New York, Bantam Books, 1987.",LJPrimary,1987,Cahill,Tim,Cahill_1987,Primary Works,male
39,"Conover, Ted. Coyotes: A Journey through the Secret World of America's Illegal Aliens. New York: Vintage Books, 1987.",LJPrimary,1987,Conover,Ted,Conover_1987,Primary Works,male
198,"Preston, Richard. First Light: The Search for the Edge of the Universe. New York: Atlantic Monthly Press, 1987.",LJPrimary,1987,Preston,Richard,Preston_1987,Primary Works,male
289,from Coyotes / Ted Conover -- 1987,AoFTOC,1987,Conover,Ted,Conover_1987,Primary Works,male
309,Holiday Pageant: The Importance of Being Bluebell / Michael Winerip. -- 1987,AoFTOC,1987,Winerip,Michael,Winerip_1987,Primary Works,male
